year,make,model,type,trans,miles,lux,price,makeavg,makemodavg,typecode,transcode
2001,Chevrolet,Corvette,conv,auto,61637,0,14999,20283.812865497075,28494.666666666668,8,0
2002,Ford,F-250,pickup,auto,229000,0,4995,21333.73062730627,20295.5,6,0
2003,Chevrolet,Astro,van,auto,113774,0,6985,20283.812865497075,6985.0,4,0
2003,Mercedes-Benz,SL-Class,conv,auto,92235,1,8995,31617.1125,38326.0,8,0
2003,Mercedes-Benz,SLK-Class,conv,auto,36979,1,12288,31617.1125,13094.0,8,0
2004,Audi,TT,conv,manual,83482,1,8850,25355.823529411766,8850.0,8,1
2004,BMW,Z4,conv,auto,125148,1,5585,25001.56,30827.333333333332,8,0
2004,Chevrolet,Colorado,pickup,auto,148278,0,4295,20283.812865497075,19296.666666666668,6,0
2004,Porsche,911,conv,manual,83231,1,39990,74542.0625,99642.88888888889,8,1
2004,Toyota,Sienna,minivan,auto,178817,0,4390,17057.60769230769,20580.04,3,0
2005,Lexus,LS,sedan,auto,146629,1,7800,24917.206896551725,7800.0,1,0
2005,Mercedes-Benz,CLK-Class,conv,auto,99026,1,7600,31617.1125,7600.0,8,0
2006,BMW,6,conv,auto,105688,1,8985,25001.56,31731.75,8,0
2006,GMC,Sierra,pickup,auto,91621,0,7572,22799.557142857142,22265.266666666666,6,0
2006,Toyota,Tacoma,pickup,auto,101238,0,15492,17057.60769230769,18727.666666666668,6,0
2006,Toyota,Tacoma,pickup,auto,158000,0,6995,17057.60769230769,18727.666666666668,6,0
2007,Chevrolet,Corvette,coupe,manual,27939,0,22990,20283.812865497075,28494.666666666668,7,1
2007,Chevrolet,Silverado,pickup,auto,94452,0,11000,20283.812865497075,23265.760869565216,6,0
2007,Dodge,RAM,pickup,auto,205913,0,2999,18225.64864864865,10239.666666666666,6,0
2007,Ford,E-Series,van,auto,131787,0,6900,21333.73062730627,12154.857142857143,4,0
2007,Ford,F-150,pickup,auto,122983,0,11995,21333.73062730627,27010.86567164179,6,0
2007,Ford,F-150,pickup,auto,123918,0,7999,21333.73062730627,27010.86567164179,6,0
2007,Honda,Accord,sedan,auto,152917,0,5500,16881.61739130435,16016.52,1,0
2007,Lexus,ES,sedan,auto,101928,1,6499,24917.206896551725,17765.222222222223,1,0
2007,Nissan,Frontier,pickup,auto,127156,0,8995,14958.864,20496.5625,6,0
2007,Porsche,Cayman,coupe,manual,132544,1,13994,74542.0625,13994.0,7,1
2007,Toyota,Avalon,sedan,auto,133177,0,6992,17057.60769230769,15021.25,1,0
2007,Toyota,Camry,sedan,auto,116808,0,6356,17057.60769230769,14360.894736842105,1,0
2007,Toyota,Tacoma,pickup,auto,100000,0,15990,17057.60769230769,18727.666666666668,6,0
2007,Toyota,Tundra,pickup,auto,139962,0,11995,17057.60769230769,20336.571428571428,6,0
2008,BMW,3,conv,auto,87451,1,8900,25001.56,17132.91891891892,8,0
2008,BMW,3,coupe,auto,110904,1,6495,25001.56,17132.91891891892,7,0
2008,BMW,5,sedan,auto,113225,1,6995,25001.56,19344.333333333332,1,0
2008,BMW,5,sedan,auto,129435,1,6063,25001.56,19344.333333333332,1,0
2008,Chevrolet,Colorado,pickup,auto,38681,0,8532,20283.812865497075,19296.666666666668,6,0
2008,Chevrolet,Express,van,auto,66000,0,8490,20283.812865497075,17017.444444444445,4,0
2008,Chevrolet,Silverado,pickup,auto,152195,0,6995,20283.812865497075,23265.760869565216,6,0
2008,Chevrolet,Silverado,pickup,auto,202949,0,6599,20283.812865497075,23265.760869565216,6,0
2008,Ford,Edge,suv,auto,140596,0,6488,21333.73062730627,19842.0,5,0
2008,Ford,Explorer,pickup,auto,69882,0,13995,21333.73062730627,20469.25,6,0
2008,Ford,F-350,pickup,auto,46210,0,20992,21333.73062730627,30741.428571428572,6,0
2008,GMC,Canyon,pickup,auto,104256,0,6991,22799.557142857142,25797.363636363636,6,0
2008,Honda,Civic,sedan,manual,178000,0,3800,16881.61739130435,15698.85,1,1
2008,INFINITI,G37,coupe,manual,118434,1,7995,19861.266666666666,9496.666666666666,7,1
2008,Jeep,Wrangler,suv,auto,140547,0,13996,20947.5593220339,26156.0,5,0
2008,Mercedes-Benz,C-Class,sedan,auto,123005,1,6250,31617.1125,24610.833333333332,1,0
2008,Subaru,Outback,wagon,manual,103866,0,5495,17980.04054054054,18247.314285714285,2,1
2008,Toyota,Matrix,hatch,auto,97385,0,6533,17057.60769230769,6766.0,0,0
2008,Toyota,Tacoma,pickup,auto,158893,0,12594,17057.60769230769,18727.666666666668,6,0
2008,Volkswagen,Rabbit,hatch,auto,114336,0,4888,13575.45945945946,4888.0,0,0
2009,Acura,MDX,suv,auto,119890,1,8995,17474.30769230769,21056.75,5,0
2009,BMW,3,sedan,auto,126785,1,6595,25001.56,17132.91891891892,1,0
2009,BMW,3,sedan,auto,130000,1,6700,25001.56,17132.91891891892,1,0
2009,Chevrolet,Express,van,auto,43724,0,14491,20283.812865497075,17017.444444444445,4,0
2009,Chevrolet,Express,van,auto,46718,0,13201,20283.812865497075,17017.444444444445,4,0
2009,Chevrolet,Express,van,auto,137000,0,6495,20283.812865497075,17017.444444444445,4,0
2009,Chevrolet,Malibu,sedan,auto,149310,0,3750,20283.812865497075,10909.0,1,0
2009,Chevrolet,Silverado,pickup,auto,91886,0,11995,20283.812865497075,23265.760869565216,6,0
2009,Chevrolet,Silverado,pickup,auto,95176,0,9995,20283.812865497075,23265.760869565216,6,0
2009,Ford,E-Series,van,auto,224741,0,5999,21333.73062730627,12154.857142857143,4,0
2009,Ford,F-350,pickup,auto,115114,0,10990,21333.73062730627,30741.428571428572,6,0
2009,GMC,Canyon,pickup,auto,111814,0,12000,22799.557142857142,25797.363636363636,6,0
2009,GMC,Sierra,pickup,auto,66976,0,15995,22799.557142857142,22265.266666666666,6,0
2009,GMC,Sierra,pickup,auto,122916,0,12890,22799.557142857142,22265.266666666666,6,0
2009,GMC,Sierra,pickup,auto,140184,0,11854,22799.557142857142,22265.266666666666,6,0
2009,Honda,Accord,sedan,auto,104681,0,7992,16881.61739130435,16016.52,1,0
2009,Honda,Civic,sedan,auto,129071,0,6495,16881.61739130435,15698.85,1,0
2009,Lexus,ES,sedan,auto,158420,1,6792,24917.206896551725,17765.222222222223,1,0
2009,Lincoln,MKS,sedan,auto,101001,1,6995,27000.090909090908,6995.0,1,0
2009,MINI,Cooper,hatch,manual,132750,0,4995,13678.5,14421.111111111111,0,1
2009,Mitsubishi,Galant,sedan,auto,109379,0,4495,12785.777777777777,4495.0,1,0
2009,Nissan,Cube,wagon,auto,62125,0,4500,14958.864,4500.0,2,0
2009,Subaru,Outback,wagon,auto,100000,0,7990,17980.04054054054,18247.314285714285,2,0
2009,Toyota,Corolla,sedan,auto,75424,0,5612,17057.60769230769,11229.35294117647,1,0
2009,Toyota,Corolla,sedan,auto,153180,0,5959,17057.60769230769,11229.35294117647,1,0
2009,Toyota,Matrix,hatch,auto,84129,0,6999,17057.60769230769,6766.0,0,0
2009,Toyota,Tacoma,pickup,manual,59863,0,14995,17057.60769230769,18727.666666666668,6,1
2009,Toyota,Tacoma,pickup,auto,157691,0,13992,17057.60769230769,18727.666666666668,6,0
2009,Toyota,Venza,suv,auto,179055,0,6885,17057.60769230769,6885.0,5,0
2009,Volkswagen,Beetle,conv,auto,76615,0,6498,13575.45945945946,10787.0,8,0
2010,Acura,TSX,sedan,auto,152992,1,6995,17474.30769230769,7735.0,1,0
