year,make,model,type,trans,miles,lux,price,makeavg,makemodavg,typecode,transcode
1965,Chevrolet,Impala,coupe,auto,30000,0,19500,20857.8062426384,16321.34328358209,7,0
1979,Mercedes-Benz,450-Class,conv,auto,86879,1,6995,35447.970954356846,6995.0,8,0
1979,Mercedes-Benz,450-Class,coupe,auto,86879,1,6995,35447.970954356846,6995.0,7,0
1993,Chevrolet,Corvette,conv,auto,39491,0,11999,20857.8062426384,38458.31343283582,8,0
1995,Chevrolet,Corvette,conv,auto,101760,0,10969,20857.8062426384,38458.31343283582,8,0
1995,Porsche,911,coupe,manual,75568,1,55000,75747.38095238095,97126.20833333333,7,1
1996,Porsche,911,conv,auto,29754,1,44900,75747.38095238095,97126.20833333333,8,0
1996,Porsche,911,conv,manual,40985,1,38990,75747.38095238095,97126.20833333333,8,1
1996,Porsche,911,conv,manual,46615,1,54995,75747.38095238095,97126.20833333333,8,1
1996,Porsche,911,conv,manual,70511,1,49995,75747.38095238095,97126.20833333333,8,1
1997,Land,Rover,suv,auto,27590,1,69900,43643.645454545454,43643.645454545454,5,0
1997,Porsche,911,conv,manual,73805,1,54995,75747.38095238095,97126.20833333333,8,1
1998,Porsche,Boxster,conv,manual,104700,1,6995,75747.38095238095,33120.89655172414,8,1
1999,Porsche,Boxster,conv,manual,82155,1,7200,75747.38095238095,33120.89655172414,8,1
2000,Chevrolet,Corvette,conv,auto,34437,0,14400,20857.8062426384,38458.31343283582,8,0
2000,Chevrolet,Corvette,conv,manual,79184,0,14177,20857.8062426384,38458.31343283582,8,1
2000,Chevrolet,Corvette,conv,auto,89975,0,10495,20857.8062426384,38458.31343283582,8,0
2000,Porsche,Boxster,conv,manual,53906,1,9695,75747.38095238095,33120.89655172414,8,1
2001,Chevrolet,Corvette,conv,auto,69785,0,13995,20857.8062426384,38458.31343283582,8,0
2001,Ford,Excursion,suv,auto,256084,0,7200,21268.263231850116,7200.0,5,0
2001,Mercedes-Benz,SLK-Class,conv,auto,80395,1,7995,35447.970954356846,16008.888888888889,8,0
2001,Mercedes-Benz,SLK-Class,conv,auto,103400,1,4500,35447.970954356846,16008.888888888889,8,0
2001,Mitsubishi,Galant,sedan,auto,88352,0,2990,13470.854838709678,2990.0,1,0
2002,Audi,TT,coupe,manual,97495,1,6100,27322.59133126935,24698.833333333332,7,1
2002,Chevrolet,Corvette,conv,auto,50210,0,15500,20857.8062426384,38458.31343283582,8,0
2002,Chevrolet,Corvette,conv,auto,61964,0,16744,20857.8062426384,38458.31343283582,8,0
2002,Chevrolet,Corvette,conv,auto,83199,0,13708,20857.8062426384,38458.31343283582,8,0
2002,Chevrolet,Corvette,coupe,auto,79987,0,12385,20857.8062426384,38458.31343283582,7,0
2002,Ford,Thunderbird,conv,auto,33927,0,15000,21268.263231850116,12464.833333333334,8,0
2002,Ford,Thunderbird,conv,auto,42841,0,11510,21268.263231850116,12464.833333333334,8,0
2002,Ford,Thunderbird,conv,auto,64908,0,10491,21268.263231850116,12464.833333333334,8,0
2002,Ford,Thunderbird,conv,auto,96129,0,9800,21268.263231850116,12464.833333333334,8,0
2002,Honda,S2000,conv,manual,79001,0,16977,17180.096069868996,17825.333333333332,8,1
2002,Lexus,LS,sedan,auto,92353,1,7151,26516.856209150326,32344.23076923077,1,0
2002,Lexus,LX,suv,auto,165000,1,10997,26516.856209150326,45264.444444444445,5,0
2002,Lexus,RX,suv,auto,167924,1,1995,26516.856209150326,29812.756756756757,5,0
2002,Lexus,SC,conv,auto,104696,1,8990,26516.856209150326,12302.1,8,0
2002,Lexus,SC,conv,auto,110604,1,9986,26516.856209150326,12302.1,8,0
2002,Lexus,SC,conv,auto,116251,1,7900,26516.856209150326,12302.1,8,0
2002,Lexus,SC,conv,auto,132000,1,9499,26516.856209150326,12302.1,8,0
2002,Porsche,Boxster,conv,manual,32215,1,14995,75747.38095238095,33120.89655172414,8,1
2002,Porsche,Boxster,conv,manual,96177,1,8550,75747.38095238095,33120.89655172414,8,1
2002,Toyota,Camry,conv,auto,152400,0,4130,19158.287378640776,15327.235668789808,8,0
2003,Chevrolet,Corvette,conv,manual,19520,0,17996,20857.8062426384,38458.31343283582,8,1
2003,Chevrolet,Corvette,conv,auto,31906,0,16099,20857.8062426384,38458.31343283582,8,0
2003,Chevrolet,Corvette,conv,auto,32925,0,21995,20857.8062426384,38458.31343283582,8,0
2003,Chevrolet,SSR,conv,auto,56152,0,16199,20857.8062426384,16435.2,8,0
